DATE,TMIN,TMAX,PRCP
2023-03-12,18.4,34.0,0.0
2023-03-13,19.2,34.0,0.0
2023-03-14,20.2,33.4,0.0
2023-03-15,20.0,35.0,0.0
2023-03-16,20.8,34.0,0.0
2023-03-17,22.6,31.0,0.0
2023-03-18,19.4,32.0,2.4
2023-03-19,19.2,27.0,5.1
2023-03-20,19.6,26.0,0.0
2023-03-21,18.0,29.0,4.1
2023-03-22,15.9,30.0,9.9
2023-03-23,18.0,32.0,0.0
2023-03-24,19.6,34.0,0.0
2023-03-25,19.8,34.0,0.0
2023-03-26,20.6,36.0,0.0
2023-03-27,20.2,35.0,0.0
2023-03-28,20.6,34.0,0.0
2023-03-29,19.8,35.0,0.0
2023-03-30,20.2,37.0,0.0
2023-03-31,21.6,29.0,0.0
2023-04-01,18.7,31.0,1.0
2023-04-02,19.2,33.0,0.0
2023-04-03,20.4,35.0,0.0
2023-04-04,20.8,38.0,0.0
2023-04-05,22.2,36.0,0.0
2023-04-06,20.2,37.0,0.0
2023-04-07,22.2,38.0,0.0
2023-04-08,22.8,37.4,0.0
2023-04-09,24.6,38.2,0.0
2023-04-10,25.8,38.0,0.0
2023-04-11,22.0,39.0,0.0
2023-04-12,21.8,39.2,0.0
2023-04-13,24.4,41.0,0.0
2023-04-14,24.6,41.0,0.0
2023-04-15,24.2,41.0,0.0
2023-04-16,25.8,42.0,0.0
2023-04-17,25.0,43.0,0.0
2023-04-18,27.0,43.0,0.0
2023-04-19,27.0,43.0,0.0
2023-04-20,27.8,42.4,0.0
2023-04-21,27.6,38.4,0.0
2023-04-22,21.8,38.0,4.1
2023-04-23,22.4,36.0,0.0
2023-04-24,21.2,32.2,0.0
2023-04-25,22.2,35.0,0.5
2023-04-26,23.5,37.0,0.0
2023-04-27,23.2,36.0,0.0
2023-04-28,22.6,38.0,0.0
2023-04-29,27.2,35.0,0.0
2023-04-30,22.0,35.0,0.0
2023-05-01,21.1,31.0,22.1
2023-05-02,20.8,33.0,7.9
2023-05-03,23.8,34.0,0.0
2023-05-04,23.6,32.4,0.3
2023-05-05,23.4,36.0,0.0
2023-05-06,23.4,37.0,0.0
2023-05-07,25.0,39.0,0.0
2023-05-08,24.2,40.0,0.0
2023-05-09,26.0,42.0,0.0
2023-05-10,24.6,40.4,0.0
2023-05-11,23.0,40.2,0.0
2023-05-12,22.8,40.0,0.0
2023-05-13,29.0,38.6,0.0
2023-05-14,27.0,40.4,0.0
2023-05-15,24.2,36.4,0.0
2023-05-16,26.6,40.0,0.0
2023-05-17,26.6,37.4,0.0
2023-05-18,26.4,36.2,0.3
2023-05-19,25.4,40.0,0.0
2023-05-20,25.6,41.8,0.0
2023-05-21,27.8,41.0,0.0
2023-05-22,26.2,38.4,0.0
2023-05-23,25.4,31.0,0.6
2023-05-24,23.6,36.6,0.2
2023-05-25,25.2,37.4,0.0
2023-05-26,24.0,36.0,1.0
2023-05-27,23.4,35.0,0.0
2023-05-28,26.0,37.2,0.0
2023-05-29,28.4,39.2,0.0
2023-05-30,28.4,40.6,0.0
2023-05-31,30.2,41.2,0.0
2023-06-01,29.0,40.0,0.0
2023-06-02,28.0,41.4,0.0
2023-06-03,29.2,42.0,0.0
2023-06-04,28.0,42.0,0.0
2023-06-05,29.8,38.6,0.0
2023-06-06,27.4,41.0,0.0
2023-06-07,28.2,42.4,0.0
2023-06-08,29.8,43.0,0.0
2023-06-09,28.2,43.4,0.0
2023-06-10,29.6,42.0,0.0
2023-06-11,29.6,42.0,0.0
2023-06-12,28.6,41.0,0.0
2023-06-13,30.0,42.0,0.0
2023-06-14,28.2,43.5,0.0
2023-06-15,30.0,43.8,0.0
2023-06-16,32.8,43.0,0.0
2023-06-17,32.2,44.0,0.0
2023-06-18,31.6,42.0,0.0
2023-06-19,27.4,42.0,0.1
2023-06-20,28.0,39.6,1.9
2023-06-21,28.6,39.0,9.5
2023-06-22,26.6,40.0,9.9
2023-06-23,28.6,37.0,0.0
2023-06-24,30.8,38.4,4.2
2023-06-25,29.2,38.0,1.0
2023-06-26,29.8,36.0,0.6
2023-06-27,27.6,36.0,1.9
2023-06-28,26.6,33.0,1.7
2023-06-29,26.6,30.0,29.8
2023-06-30,23.9,30.0,143.0
2023-07-01,24.6,32.0,22.1
2023-07-02,24.6,33.0,56.9
2023-07-03,25.8,34.0,5.1
2023-07-04,27.6,35.0,3.0
2023-07-05,26.4,34.0,5.1
2023-07-06,26.9,36.2,0.0
2023-07-07,28.0,35.0,2.5
2023-07-08,26.6,36.0,23.1
2023-07-09,27.2,37.0,0.3
2023-07-10,27.8,37.0,0.0
2023-07-11,28.8,35.0,9.0
2023-07-12,27.0,37.0,2.3
2023-07-13,29.0,35.1,2.5
2023-07-14,26.0,34.0,13.2
2023-07-15,27.0,36.0,7.5
2023-07-16,27.8,34.0,0.4
2023-07-17,28.0,35.0,0.3
2023-07-18,27.3,35.0,0.0
2023-07-19,29.6,37.0,0.0
2023-07-20,30.0,37.0,0.0
2023-07-21,29.8,36.0,0.6
2023-07-22,29.0,35.0,0.5
2023-07-23,27.7,37.0,0.0
2023-07-24,29.6,37.0,0.0
2023-07-25,29.8,36.4,0.0
2023-07-26,29.0,37.0,0.0
2023-07-27,29.2,37.0,0.0
2023-07-28,28.7,37.0,0.0
2023-07-29,29.4,36.0,5.1
2023-07-30,27.9,34.0,0.0
2023-07-31,26.3,36.0,0.0
2023-08-01,25.8,36.0,14.0
2023-08-02,25.8,33.0,8.9
2023-08-03,26.6,32.0,1.0
2023-08-04,27.4,35.0,0.0
2023-08-05,27.5,33.0,0.0
2023-08-06,26.8,33.0,3.0
2023-08-07,26.1,31.0,50.0
2023-08-08,27.0,31.0,3.0
2023-08-09,25.0,30.0,15.0
2023-08-10,26.8,33.0,18.0
2023-08-11,27.6,32.0,0.0
2023-08-12,27.8,35.0,2.0
2023-08-13,27.8,34.0,0.3
2023-08-14,27.0,35.0,0.0
2023-08-15,27.0,36.0,14.0
2023-08-16,28.2,36.0,0.0
2023-08-17,27.0,35.0,22.1
2023-08-18,28.6,35.0,0.0
2023-08-19,28.6,35.0,0.4
2023-08-20,28.2,36.0,0.4
2023-08-21,28.6,35.0,1.8
2023-08-22,24.6,31.0,53.1
2023-08-23,26.6,30.0,7.1
2023-08-24,25.6,32.0,8.9
2023-08-25,25.3,31.0,38.1
2023-08-26,25.1,34.0,39.1
2023-08-27,27.0,35.0,0.5
2023-08-28,26.9,34.4,0.0
2023-08-29,27.8,35.0,0.0
2023-08-30,27.4,36.0,0.0
2023-08-31,28.4,37.0,0.0
2023-09-01,28.8,37.0,0.3
2023-09-02,25.2,37.0,4.8
2023-09-03,25.0,37.0,15.8
2023-09-04,24.8,32.0,33.0
2023-09-05,26.8,34.0,0.5
2023-09-06,24.7,35.0,5.1
2023-09-07,26.8,35.0,0.0
2023-09-08,25.9,31.0,9.9
2023-09-09,25.8,33.0,5.1
2023-09-10,25.3,36.0,23.1
2023-09-11,27.6,36.0,0.0
2023-09-12,28.4,36.0,10.1
2023-09-13,28.2,36.0,0.0
2023-09-14,28.6,35.0,2.2
2023-09-15,29.0,33.0,3.1
2023-09-16,27.8,34.0,0.0
2023-09-17,28.6,37.0,0.4
2023-09-18,27.0,37.0,10.9
2023-09-19,27.0,36.0,4.3
2023-09-20,26.7,34.0,3.7
2023-09-21,27.0,31.0,11.4
2023-09-22,25.8,30.0,1.0
2023-09-23,25.0,29.0,24.9
2023-09-24,24.7,29.0,63.0
2023-09-25,25.1,31.0,0.0
2023-09-26,26.2,34.0,7.8
2023-09-27,27.0,35.0,0.2
2023-09-28,27.5,35.0,0.0
2023-09-29,27.0,36.0,0.7
2023-09-30,24.6,33.0,18.6
2023-10-01,25.8,32.0,24.7
2023-10-02,25.3,33.0,7.9
2023-10-03,25.6,33.0,3.0
2023-10-04,25.4,30.0,6.1
2023-10-05,24.6,29.0,5.1
2023-10-06,25.2,34.0,0.0
2023-10-07,25.1,34.0,0.0
2023-10-08,26.2,34.0,0.0
2023-10-09,26.0,35.0,0.7
2023-10-10,26.4,35.4,0.0
2023-10-11,25.8,35.0,0.2
2023-10-12,24.6,35.0,0.0
2023-10-13,24.0,35.0,0.0
2023-10-14,23.4,33.0,0.0
2023-10-15,24.2,34.0,0.0
2023-10-16,24.6,33.0,1.3
2023-10-17,20.2,31.0,5.1
2023-10-18,21.4,32.0,0.0
2023-10-19,21.8,33.0,0.0
2023-10-20,21.6,33.0,0.0
2023-10-21,20.4,33.0,0.0
2023-10-22,19.6,32.0,0.0
2023-10-23,19.6,33.0,0.0
2023-10-24,22.0,33.0,0.1
2023-10-25,22.0,32.0,0.0
2023-10-26,18.9,31.6,0.0
2023-10-27,20.8,33.0,0.0
2023-10-28,21.0,33.0,0.0
2023-10-29,19.4,33.0,0.0
2023-10-30,19.6,33.0,0.0
2023-10-31,20.0,34.0,0.0
2023-11-01,21.0,33.0,0.0
2023-11-02,21.4,33.0,0.0
2023-11-03,21.6,32.0,0.0
2023-11-04,21.0,32.0,0.0
2023-11-05,20.0,32.0,0.0
2023-11-06,19.8,32.0,0.0
2023-11-07,19.4,30.0,0.0
2023-11-08,19.4,31.0,0.0
2023-11-09,19.0,31.0,0.0
2023-11-10,19.0,31.0,0.0
2023-11-11,20.0,31.0,0.0
2023-11-12,19.8,30.0,0.0
2023-11-13,18.4,31.0,0.0
2023-11-14,17.2,31.0,0.0
2023-11-15,17.4,30.0,0.0
2023-11-16,18.0,31.0,0.0
2023-11-17,19.4,32.0,0.0
2023-11-18,19.2,32.0,0.0
2023-11-19,19.2,32.0,0.0
2023-11-20,19.4,30.0,0.0
2023-11-21,19.2,29.0,0.0
2023-11-22,17.0,28.0,0.0
2023-11-23,15.4,28.0,0.0
2023-11-24,13.8,29.0,0.0
2023-11-25,14.8,28.0,0.0
2023-11-26,14.8,30.0,0.0
2023-11-27,15.8,30.0,0.0
2023-11-28,17.2,29.0,0.0
2023-11-29,18.0,30.0,0.0
2023-11-30,17.4,28.0,1.2
2023-12-01,19.6,27.0,0.0
2023-12-02,19.8,29.0,0.0
2023-12-03,18.6,31.0,0.0
2023-12-04,16.4,31.0,0.0
2023-12-05,19.6,27.0,0.0
2023-12-06,18.7,27.0,0.0
2023-12-07,18.4,24.0,0.3
2023-12-08,15.8,22.0,7.1
2023-12-09,15.1,26.0,0.0
2023-12-10,13.6,25.0,0.0
2023-12-11,11.6,26.0,0.0
2023-12-12,11.4,25.0,0.0
2023-12-13,11.2,24.0,0.0
2023-12-14,12.0,24.0,0.0
2023-12-15,11.4,25.0,0.0
2023-12-16,10.8,25.0,0.0
2023-12-17,10.2,25.0,0.0
2023-12-18,10.4,25.0,0.0
2023-12-19,10.6,24.0,0.0
2023-12-20,12.0,24.2,0.0
2023-12-21,10.4,25.0,0.0
2023-12-22,10.6,26.0,1.0
2023-12-23,13.0,26.2,0.0
2023-12-24,13.2,28.0,0.0
2023-12-25,13.0,28.0,0.0
2023-12-26,13.6,26.0,0.0
2023-12-27,14.0,26.0,0.0
2023-12-28,13.8,25.2,0.0
2023-12-29,14.0,19.0,0.0
2023-12-30,13.4,17.0,0.0
2023-12-31,11.8,15.0,0.0
2024-01-01,9.8,19.0,0.0
2024-01-02,9.0,23.0,0.0
2024-01-03,11.6,22.0,0.0
2024-01-04,12.2,24.0,0.0
2024-01-05,12.8,22.0,0.0
2024-01-06,15.6,23.0,0.5
2024-01-07,14.4,22.0,0.0
2024-01-08,13.8,22.0,0.0
2024-01-09,12.0,24.0,0.0
2024-01-10,13.2,23.0,0.0
2024-01-11,11.6,20.0,0.0
2024-01-12,9.4,17.0,0.0
2024-01-13,8.0,15.0,0.0
2024-01-14,9.6,16.0,0.0
2024-01-15,7.5,19.0,0.0
2024-01-16,11.0,14.0,0.0
2024-01-17,10.8,15.0,0.0
2024-01-18,10.8,15.0,0.0
2024-01-19,10.0,18.2,0.0
2024-01-20,9.6,19.0,0.0
2024-01-21,7.6,15.0,0.0
2024-01-22,6.6,19.0,0.0
2024-01-23,7.8,15.0,0.0
2024-01-24,9.8,15.0,0.0
2024-01-25,10.0,19.0,0.0
2024-01-26,7.0,20.0,0.0
2024-01-27,9.0,22.0,0.0
2024-01-28,8.0,23.0,0.0
2024-01-29,9.4,23.0,0.0
2024-01-30,10.0,24.0,0.0
2024-01-31,11.2,25.0,0.0
2024-02-01,11.0,27.0,0.0
2024-02-02,12.4,25.8,0.0
2024-02-03,13.6,25.0,0.0
2024-02-04,10.8,26.0,0.1
2024-02-05,12.8,22.0,2.0
2024-02-06,14.8,22.0,2.0
2024-02-07,11.6,23.2,0.0
2024-02-08,11.8,22.0,0.0
2024-02-09,9.4,24.0,0.0
2024-02-10,9.0,25.0,0.0
2024-02-11,11.0,26.0,0.0
2024-02-12,12.0,27.0,0.0
2024-02-13,14.2,24.0,0.3
2024-02-14,17.3,24.0,9.9
2024-02-15,15.5,26.0,3.0
2024-02-16,14.0,27.0,0.0
2024-02-17,16.4,27.0,0.0
2024-02-18,14.0,28.0,0.0
2024-02-19,13.0,29.0,0.0
2024-02-20,15.2,30.0,0.0
2024-02-21,18.6,29.0,1.0
2024-02-22,18.1,28.0,3.0
2024-02-23,17.2,27.8,0.3
2024-02-24,13.6,25.0,0.0
2024-02-25,15.5,26.0,0.0
2024-02-26,15.4,27.0,0.0
2024-02-27,16.0,29.0,0.0
2024-02-28,15.4,28.0,0.0
2024-02-29,17.2,28.0,0.0
2024-03-01,16.0,29.0,0.0
2024-03-02,18.0,30.0,0.0
2024-03-03,18.6,24.0,0.5
2024-03-04,17.4,30.0,2.0
2024-03-05,17.4,27.0,0.0
2024-03-06,14.2,27.0,0.0
2024-03-07,14.6,28.0,0.0
2024-03-08,16.0,29.0,0.0
2024-03-09,17.4,30.0,0.0
2024-03-10,16.0,29.0,0.0
2024-03-11,16.0,32.0,0.0
2024-03-12,19.6,33.0,0.0
2024-03-13,20.0,34.0,0.0
2024-03-14,20.0,34.0,0.0
2024-03-15,21.0,34.0,0.0
2024-03-16,20.9,34.0,0.0
2024-03-17,20.0,33.0,0.0
2024-03-18,20.0,33.0,0.0
2024-03-19,22.0,31.0,0.0
2024-03-20,17.6,25.0,40.5
2024-03-21,17.0,27.0,2.6
2024-03-22,18.4,29.0,0.0
2024-03-23,19.2,33.0,0.0
2024-03-24,20.6,32.0,0.0
2024-03-25,21.4,33.0,0.4
2024-03-26,22.6,35.0,0.0
2024-03-27,20.4,35.0,0.0
2024-03-28,21.1,34.0,0.0
2024-03-29,25.0,35.0,0.0
2024-03-30,27.0,37.0,0.0
2024-03-31,26.0,38.0,0.3
2024-04-01,25.0,38.0,0.0
2024-04-02,22.6,37.0,0.0
2024-04-03,23.0,39.0,0.0
2024-04-04,24.2,40.0,0.0
2024-04-05,26.6,39.0,0.0
2024-04-06,27.0,40.0,0.0
2024-04-07,28.2,38.0,0.0
2024-04-08,24.6,38.0,0.0
2024-04-09,23.6,39.0,0.0
2024-04-10,24.8,39.0,0.0
2024-04-11,25.6,39.0,0.0
2024-04-12,23.6,37.0,0.0
2024-04-13,25.2,39.0,0.0
2024-04-14,28.0,39.0,0.0
2024-04-15,27.4,40.0,0.0
2024-04-16,31.0,40.0,0.0
2024-04-17,30.0,39.0,0.0
2024-04-18,27.0,40.0,0.0
2024-04-19,28.0,42.0,0.0
2024-04-20,27.8,42.0,0.0
2024-04-21,28.6,41.0,0.0
2024-04-22,27.8,39.0,0.0
2024-04-23,28.6,41.0,0.0
2024-04-24,28.6,41.0,0.0
2024-04-25,28.2,41.0,0.0
2024-04-26,27.0,42.0,0.0
2024-04-27,31.0,42.0,0.0
2024-04-28,29.8,42.0,0.0
2024-04-29,29.6,42.0,0.0
2024-04-30,30.6,43.0,0.0
2024-05-01,30.0,41.0,0.0
2024-05-02,27.2,38.0,0.0
2024-05-03,24.0,40.0,0.0
2024-05-04,24.3,41.0,0.0
2024-05-05,26.0,42.0,0.0
2024-05-06,25.0,35.0,2.0
2024-05-07,23.2,33.0,0.2
2024-05-08,22.0,34.0,22.1
2024-05-09,25.0,29.0,0.0
2024-05-10,22.8,35.0,0.0
2024-05-11,27.2,36.0,2.2
2024-05-12,26.6,34.0,0.0
2024-05-13,26.4,36.0,0.0
2024-05-14,26.5,39.0,0.0
2024-05-15,30.0,41.0,0.0
2024-05-16,31.0,41.0,0.0
2024-05-17,30.2,42.0,0.0
2024-05-18,30.8,43.0,0.0
2024-05-19,29.0,40.0,0.0
2024-05-20,28.6,36.0,0.0
2024-05-21,27.0,36.0,0.0
2024-05-22,28.0,36.0,0.4
2024-05-23,26.6,35.0,6.8
2024-05-24,29.6,40.0,0.0
2024-05-25,31.6,41.0,0.0
2024-05-26,32.6,40.0,0.2
2024-05-27,31.8,39.0,0.0
2024-05-28,30.0,42.0,0.0
2024-05-29,32.0,43.0,0.0
2024-05-30,31.0,42.0,0.0
2024-05-31,28.4,36.0,0.0
2024-06-01,28.6,36.0,0.0
2024-06-02,28.4,37.0,0.5
2024-06-03,28.4,40.0,1.3
2024-06-04,29.6,39.0,0.0
2024-06-05,28.4,39.0,0.0
2024-06-06,28.0,39.0,0.0
2024-06-07,29.2,42.0,0.0
2024-06-08,32.0,43.0,0.0
2024-06-09,29.8,44.0,0.0
2024-06-10,29.4,42.0,0.0
2024-06-11,31.2,43.0,0.0
2024-06-12,30.8,42.0,0.0
2024-06-13,31.6,42.0,0.0
2024-06-14,30.0,43.0,0.0
2024-06-15,28.8,43.0,0.0
2024-06-16,29.8,43.0,0.0
2024-06-17,29.2,41.0,0.0
2024-06-18,30.0,42.0,0.0
2024-06-19,30.0,42.0,0.0
2024-06-20,25.9,37.0,3.0
2024-06-21,28.2,37.0,0.0
2024-06-22,30.0,39.0,4.2
2024-06-23,30.4,40.0,3.3
2024-06-24,31.6,41.0,1.9
2024-06-25,31.0,37.0,0.0
2024-06-26,29.2,34.0,23.7
2024-06-27,29.0,38.0,0.0
2024-06-28,29.2,37.0,0.5
2024-06-29,27.4,38.0,0.0
2024-06-30,25.0,34.0,27.9
2024-07-01,27.6,36.0,8.9
2024-07-02,26.8,31.0,0.5
2024-07-03,26.9,31.0,17.0
2024-07-04,26.6,34.0,15.0
2024-07-05,27.0,31.0,7.1
2024-07-06,26.6,32.0,42.9
2024-07-07,25.6,33.0,39.9
2024-07-08,27.3,36.0,0.5
2024-07-09,28.7,36.0,0.0
2024-07-10,27.9,35.0,14.4
2024-07-11,26.3,35.0,37.4
2024-07-12,28.0,36.0,21.2
2024-07-13,30.0,36.0,6.3
2024-07-14,30.0,35.0,14.6
2024-07-15,28.8,37.0,5.1
2024-07-16,29.6,35.0,0.0
2024-07-17,29.2,37.0,0.0
2024-07-18,32.0,37.0,0.1
2024-07-19,32.0,37.0,2.4
2024-07-20,32.0,36.0,0.1
2024-07-21,31.0,35.0,0.4
2024-07-22,31.0,36.0,0.6
